Year,Month,Sum of usd_price,Earliest Date,,,,
2019,January,220547.19,1/1/2019 0:00,,,,
2019,February,247458.98,2/1/2019 0:00,,,," $224,931.34 "
2019,March,268266.86,3/1/2019 0:00,,,,
2019,April,249100.95,4/1/2019 0:00,,,,
2019,May,261716.62,5/1/2019 0:00,,,,63%
2019,June,245649.1,6/1/2019 0:00,,,,145%
2019,July,214370.14,7/1/2019 0:00,,,,
2019,August,191672.53,8/1/2019 0:00,,,,
2019,September,161295.43,9/1/2019 0:00,,,,
2019,October,267139.07,10/1/2019 0:00,,,,
2019,November,207218.45,11/1/2019 0:00,,,,
2019,December,164740.81,12/1/2019 0:00,,,,
