country,region
AD,EURO
AE,MEA
AG,NA
AI,NA
AL,EURO
AM,EURO
AO,MEA
AR,LATAM
AS,APAC
AT,EURO
AU,APAC
AW,NA
AX,MEA
AZ,EURO
BA,EURO
BB,NA
BD,APAC
BE,EURO
BF,MEA
BG,EURO
BH,APAC
BJ,MEA
BM,LATAM
BN,APAC
BO,LATAM
BQ,NA
BR,LATAM
BS,NA
BT,APAC
BW,MEA
BY,EURO
BZ,NA
CA,NA
CD,MEA
CH,EURO
CI,MEA
CL,LATAM
CM,MEA
CN,APAC
CO,LATAM
CR,LATAM
CU,LATAM
CV,MEA
CW,NA
CY,EURO
CZ,EURO
DE,EURO
DK,EURO
DO,LATAM
DZ,MEA
EC,LATAM
EE,EURO
EG,MEA
ES,EURO
ET,MEA
FI,EURO
FJ,APAC
FO,MEA
FR,EURO
GB,MEA
GD,NA
GE,EURO
GF,LATAM
GG,MEA
GH,MEA
GI,MEA
GL,NA
GN,MEA
GP,NA
GR,EURO
GT,LATAM
GU,APAC
HK,APAC
HN,LATAM
HR,EURO
HT,LATAM
HU,EURO
ID,APAC
IE,EURO
IL,MEA
IM,MEA
IN,APAC
IQ,MEA
IS,EURO
IT,EURO
JE,MEA
JM,NA
JO,MEA
JP,APAC
KE,MEA
KG,APAC
KH,APAC
KN,NA
KR,APAC
KW,MEA
KY,NA
KZ,EURO
LA,APAC
LB,MEA
LC,NA
LK,APAC
LT,EURO
LU,EURO
LV,EURO
MA,MEA
MC,EURO
MD,EURO
ME,EURO
MG,MEA
MK,EURO
ML,MEA
MM,APAC
MN,APAC
MO,APAC
MP,APAC
MQ,NA
MR,MEA
MT,EURO
MU,MEA
MV,APAC
MX,LATAM
MY,APAC
MZ,MEA
NA,MEA
NC,APAC
NG,MEA
NI,LATAM
NL,EURO
NO,EURO
NP,APAC
NZ,APAC
OM,MEA
PA,LATAM
PE,LATAM
PF,APAC
PG,APAC
PH,APAC
PK,APAC
PL,EURO
PR,NA
PS,MEA
PT,EURO
PY,LATAM
QA,MEA
RE,MEA
RO,EURO
RS,EURO
RU,EURO
RW,MEA
SA,MEA
SC,MEA
SD,MEA
SE,EURO
SG,APAC
SI,EURO
SK,EURO
SL,MEA
SN,MEA
SO,MEA
SV,LATAM
SX,NA
TC,NA
TG,MEA
TH,APAC
TJ,APAC
TL,APAC
TN,MEA
TR,EURO
TT,NA
TW,APAC
TZ,MEA
UA,MEA
UG,MEA
US,NA
UY,LATAM
UZ,APAC
VE,LATAM
VG,NA
VI,NA
VN,APAC
VU,APAC
YE,MEA
ZA,MEA
ZM,MEA
ZW,MEA
